ID,Education
401,Graduate
402,Graduate
403,Graduate
404,10th Pass
405,Graduate
406,Graduate
407,12th Pass
408,12th Pass
409,12th Pass
410,Graduate
411,10th Pass
412,12th Pass
413,Graduate
414,12th Pass
415,Graduate Professional
416,Graduate
417,Post Graduate
418,Graduate
419,Post Graduate
420,Graduate
421,Graduate
422,12th Pass
423,Post Graduate
424,Graduate Professional
425,Post Graduate
426,Graduate
427,Graduate Professional
428,Graduate
429,Graduate
430,Graduate
431,Post Graduate
432,Post Graduate
433,Graduate
434,Graduate Professional
435,Graduate
436,Graduate
437,Doctorate
438,Graduate Professional
439,Post Graduate
440,Post Graduate
441,10th Pass
442,12th Pass
443,Post Graduate
444,10th Pass
445,Post Graduate
446,Graduate
447,Graduate Professional
448,Post Graduate
449,8th Pass
450,10th Pass
451,Graduate
452,12th Pass
453,12th Pass
454,Graduate
455,Post Graduate
456,Graduate Professional
457,Graduate
458,10th Pass
459,Post Graduate
460,Graduate Professional
461,Graduate
462,12th Pass
463,Literate
464,10th Pass
465,12th Pass
466,Graduate
467,12th Pass
468,Doctorate
469,Graduate
470,Graduate
471,Graduate Professional
472,Graduate Professional
473,Post Graduate
474,Graduate
475,12th Pass
476,Post Graduate
477,10th Pass
478,Graduate Professional
479,Others
480,10th Pass
481,Graduate
482,Graduate Professional
483,Graduate Professional
484,Graduate Professional
485,10th Pass
486,Graduate
487,Doctorate
488,12th Pass
489,Post Graduate
490,12th Pass
491,Graduate
492,Graduate
493,Graduate
494,12th Pass
495,Post Graduate
496,10th Pass
497,Post Graduate
498,12th Pass
499,10th Pass
500,10th Pass
501,12th Pass
502,Graduate
503,12th Pass
504,Graduate
505,12th Pass
506,Post Graduate
507,Post Graduate
508,Post Graduate
509,Post Graduate
510,Graduate Professional
511,Post Graduate
512,Graduate
513,Graduate
514,10th Pass
515,Graduate
516,12th Pass
517,12th Pass
518,Post Graduate
519,Graduate Professional
520,Graduate Professional
521,8th Pass
522,12th Pass
523,Graduate
524,Post Graduate
525,10th Pass
526,Graduate
527,Graduate
528,Graduate
529,12th Pass
530,12th Pass
531,Doctorate
532,10th Pass
533,Post Graduate
534,Graduate
535,12th Pass
536,Graduate Professional
537,Graduate
538,Graduate
539,12th Pass
540,Graduate
541,Post Graduate
542,Post Graduate
543,Graduate
544,Graduate
545,Post Graduate
546,Graduate
547,10th Pass
548,Graduate
549,Graduate
550,12th Pass
551,12th Pass
552,Post Graduate
553,Graduate
554,Post Graduate
555,10th Pass
556,12th Pass
557,10th Pass
558,12th Pass
559,Graduate
560,12th Pass
561,12th Pass
562,Graduate Professional
563,12th Pass
564,Graduate
565,Graduate
566,Post Graduate
567,Post Graduate
568,10th Pass
569,Graduate
570,Graduate
571,Graduate
572,Graduate
573,Post Graduate
574,12th Pass
575,Graduate
576,Post Graduate
577,Graduate
578,Graduate Professional
579,Graduate
580,12th Pass
581,10th Pass
582,Graduate Professional
583,Graduate
584,10th Pass
585,Graduate
586,Graduate Professional
587,Graduate Professional
588,Graduate
589,Graduate Professional
590,Graduate
591,Graduate
592,Post Graduate
593,10th Pass
594,Graduate
595,Post Graduate
596,Post Graduate
597,Graduate
598,12th Pass
599,Graduate
600,12th Pass
601,Graduate
602,Graduate
603,10th Pass
604,10th Pass
605,10th Pass
606,Graduate
607,Graduate
608,12th Pass
609,Post Graduate
610,10th Pass
611,12th Pass
612,Post Graduate
613,12th Pass
614,Graduate
615,12th Pass
616,10th Pass
617,12th Pass
618,Graduate Professional
619,Post Graduate
620,Graduate
621,Graduate Professional
622,Post Graduate
623,12th Pass
624,12th Pass
625,Graduate
626,Graduate
627,Graduate Professional
628,Graduate
629,Graduate
630,10th Pass
631,Post Graduate
632,Graduate
633,12th Pass
634,12th Pass
635,Graduate
636,Graduate Professional
637,Post Graduate
638,Graduate Professional
639,Graduate Professional
640,12th Pass
641,Post Graduate
642,10th Pass
643,Post Graduate
644,Graduate
645,Post Graduate
646,Graduate
647,Post Graduate
648,Post Graduate
649,Graduate Professional
650,12th Pass
651,Graduate
652,Post Graduate
653,Graduate
654,12th Pass
655,12th Pass
656,Post Graduate
657,Post Graduate
658,Graduate
659,10th Pass
660,8th Pass
661,10th Pass
662,Graduate
663,Graduate
664,Doctorate
665,Graduate
666,10th Pass
667,Post Graduate
668,Graduate Professional
669,10th Pass
670,Graduate
671,Graduate
672,Graduate
673,Post Graduate
674,12th Pass
675,Graduate
676,10th Pass
677,Post Graduate
678,8th Pass
679,Post Graduate
680,Post Graduate
681,Graduate
682,Post Graduate
683,Graduate
684,Graduate
685,Graduate
686,Post Graduate
687,10th Pass
688,Graduate
689,Literate
690,Graduate
691,Post Graduate
692,Graduate Professional
693,12th Pass
694,Graduate
695,10th Pass
696,10th Pass
697,Graduate
698,10th Pass
699,10th Pass
700,Post Graduate
701,Graduate Professional
702,Graduate Professional
703,12th Pass
704,10th Pass
705,Graduate Professional
706,Post Graduate
707,12th Pass
708,10th Pass
709,Graduate Professional
710,Post Graduate
711,Graduate Professional
712,Post Graduate
713,Graduate
714,Graduate
715,12th Pass
716,Graduate
717,Graduate Professional
718,Post Graduate
719,Graduate
720,12th Pass
721,Graduate Professional
722,12th Pass
723,Graduate
724,Post Graduate
725,Graduate Professional
726,12th Pass
727,Post Graduate
728,Post Graduate
729,Post Graduate
730,10th Pass
731,Graduate
732,Graduate
733,Post Graduate
734,Graduate
735,10th Pass
736,12th Pass
737,12th Pass
738,Post Graduate
739,Others
740,Graduate
741,Post Graduate
742,10th Pass
743,Post Graduate
744,Post Graduate
745,Graduate
746,Post Graduate
747,Post Graduate
748,Post Graduate
749,Post Graduate
750,10th Pass
751,10th Pass
752,12th Pass
753,12th Pass
754,Post Graduate
755,Graduate
756,Graduate
757,Graduate
758,Graduate Professional
759,Graduate Professional
760,8th Pass
761,Post Graduate
762,12th Pass
763,12th Pass
764,Graduate
765,10th Pass
766,Post Graduate
767,Post Graduate
768,Graduate Professional
769,Post Graduate
770,Graduate
771,Graduate
772,Graduate Professional
773,Graduate
774,10th Pass
775,Graduate Professional
776,Graduate
777,Graduate
778,Post Graduate
779,12th Pass
780,Graduate Professional
781,10th Pass
782,Post Graduate
783,12th Pass
784,Post Graduate
785,10th Pass
786,Graduate Professional
787,Post Graduate
788,Post Graduate
789,Post Graduate
790,10th Pass
791,Graduate
792,12th Pass
793,Post Graduate
794,Graduate
795,Graduate
796,Post Graduate
797,Graduate
798,10th Pass
799,Graduate
800,10th Pass
801,Graduate
802,10th Pass
803,12th Pass
804,Post Graduate
805,Post Graduate
806,12th Pass
807,8th Pass
808,Post Graduate
809,Graduate
810,Graduate
811,Graduate
812,Post Graduate
813,Graduate
814,10th Pass
815,Post Graduate
816,Post Graduate
817,Post Graduate
818,Graduate Professional
819,8th Pass
820,10th Pass
821,Graduate
822,Graduate
823,10th Pass
824,Graduate
825,Graduate
826,12th Pass
827,12th Pass
828,Graduate Professional
829,10th Pass
830,Post Graduate
831,Graduate
832,Graduate
833,Graduate
834,Post Graduate
835,12th Pass
836,Graduate Professional
837,8th Pass
838,Post Graduate
839,Post Graduate
840,Graduate
841,Graduate
842,Graduate Professional
843,Post Graduate
844,Graduate Professional
845,Graduate
846,10th Pass
847,Graduate
848,12th Pass
849,10th Pass
850,Graduate Professional
851,Graduate
852,Graduate
853,12th Pass
854,Graduate
855,Graduate
856,Graduate Professional
857,Graduate Professional
858,Post Graduate
859,Graduate
860,10th Pass
861,Post Graduate
862,10th Pass
863,Graduate
864,10th Pass
865,12th Pass
866,10th Pass
867,Post Graduate
868,Post Graduate
869,Graduate Professional
870,12th Pass
871,12th Pass
872,Graduate Professional
873,Post Graduate
874,Graduate
875,Graduate
876,Graduate Professional
877,12th Pass
878,Post Graduate
879,12th Pass
880,Graduate Professional
881,Graduate Professional
882,Post Graduate
883,8th Pass
884,12th Pass
885,10th Pass
886,Graduate Professional
887,12th Pass
888,10th Pass
889,12th Pass
890,12th Pass
891,12th Pass
892,10th Pass
893,Post Graduate
894,Graduate Professional
895,Graduate
896,10th Pass
897,Graduate
898,12th Pass
899,8th Pass
900,Graduate
901,Graduate
902,Post Graduate
903,12th Pass
904,12th Pass
905,10th Pass
906,Post Graduate
907,Post Graduate
908,Graduate
909,10th Pass
910,Graduate
911,Graduate Professional
912,Post Graduate
913,Graduate
914,12th Pass
915,Graduate
916,Post Graduate
917,Post Graduate
918,Graduate
919,Graduate
920,Graduate
921,Graduate
922,Graduate
923,Graduate Professional
924,Graduate Professional
925,10th Pass
926,Graduate Professional
927,Post Graduate
928,Graduate
929,Graduate Professional
930,Graduate
931,Graduate
932,Post Graduate
933,Graduate
934,Graduate
935,12th Pass
936,Post Graduate
937,10th Pass
938,12th Pass
939,Graduate
940,Graduate
941,Graduate
942,Graduate
943,Graduate
944,Graduate Professional
945,12th Pass
946,10th Pass
947,12th Pass
948,12th Pass
949,10th Pass
950,12th Pass
951,10th Pass
952,12th Pass
953,Graduate
954,Graduate
955,10th Pass
956,12th Pass
957,Post Graduate
958,Graduate
959,Graduate
960,12th Pass
961,10th Pass
962,Graduate
963,Graduate
964,Graduate
965,Graduate Professional
966,10th Pass
967,Graduate
968,Post Graduate
969,Graduate
970,Graduate
971,10th Pass
972,10th Pass
973,Graduate
974,10th Pass
975,10th Pass
976,Graduate
977,Graduate Professional
978,Graduate
979,12th Pass
980,Graduate
981,Graduate Professional
982,12th Pass
983,Graduate
984,12th Pass
985,Post Graduate
986,Graduate
987,Post Graduate
988,Graduate
989,Graduate Professional
990,Graduate Professional
991,Graduate
992,Post Graduate
993,Graduate
994,10th Pass
995,Graduate Professional
996,12th Pass
997,Post Graduate
998,Post Graduate
999,12th Pass
1000,Graduate
1001,Graduate
1002,Graduate
1003,Graduate Professional
1004,10th Pass
1005,Post Graduate
1006,12th Pass
1007,Graduate Professional
1008,12th Pass
1009,12th Pass
1010,Post Graduate
1011,Graduate
1012,Post Graduate
1013,Graduate Professional
1014,10th Pass
1015,Post Graduate
1016,Graduate
1017,Graduate
1018,10th Pass
1019,Graduate Professional
1020,10th Pass
1021,Post Graduate
1022,Graduate
1023,Graduate
1024,Graduate
1025,10th Pass
1026,12th Pass
1027,8th Pass
1028,12th Pass
1029,Graduate
1030,Post Graduate
1031,10th Pass
1032,10th Pass
1033,Post Graduate
1034,8th Pass
1035,Graduate Professional
1036,Graduate
1037,12th Pass
1038,Graduate
1039,Graduate
1040,12th Pass
1041,Post Graduate
1042,Graduate
1043,12th Pass
1044,Graduate
1045,Graduate Professional
1046,Post Graduate
1047,Graduate
1048,12th Pass
1049,Graduate
1050,Post Graduate
1051,Graduate Professional
1052,Graduate
1053,Graduate
1054,Graduate Professional
1055,Post Graduate
1056,12th Pass
1057,Graduate
1058,12th Pass
1059,10th Pass
1060,12th Pass
1061,Graduate
1062,Graduate
1063,10th Pass
1064,Graduate
1065,Graduate
1066,Graduate
1067,Graduate
1068,12th Pass
1069,Graduate
1070,12th Pass
1071,Graduate Professional
1072,10th Pass
1073,Graduate
1074,12th Pass
1075,12th Pass
1076,Graduate
1077,Post Graduate
1078,Graduate
1079,Graduate
1080,12th Pass
1081,Post Graduate
1082,Graduate
1083,Post Graduate
1084,Graduate
1085,12th Pass
1086,Graduate
1087,12th Pass
1088,Graduate
1089,Graduate
1090,12th Pass
1091,Graduate Professional
1092,12th Pass
1093,10th Pass
1094,Graduate
1095,Post Graduate
1096,12th Pass
1097,10th Pass
1098,Graduate Professional
1099,Post Graduate
1100,10th Pass
1101,Graduate
1102,Graduate
1103,Post Graduate
1104,12th Pass
1105,Post Graduate
1106,8th Pass
1107,Graduate
1108,Post Graduate
1109,Graduate
1110,12th Pass
1111,Graduate
1112,Post Graduate
1113,10th Pass
1114,Graduate
1115,Graduate Professional
1116,Post Graduate
1117,Graduate
1118,Graduate
1119,Graduate Professional
1120,10th Pass
1121,12th Pass
1122,10th Pass
1123,Graduate
1124,10th Pass
1125,12th Pass
1126,Post Graduate
1127,10th Pass
1128,Post Graduate
1129,12th Pass
1130,12th Pass
1131,12th Pass
1132,Graduate
1133,Post Graduate
1134,12th Pass
1135,12th Pass
1136,Graduate
1137,12th Pass
1138,Graduate
1139,Graduate
1140,Post Graduate
1141,12th Pass
1142,Post Graduate
1143,Graduate
1144,Graduate
1145,Graduate
1146,Post Graduate
1147,Graduate
1148,Graduate
1149,Graduate
1150,Graduate
1151,10th Pass
1152,Post Graduate
1153,Post Graduate
1154,Post Graduate
1155,Graduate
1156,Graduate Professional
1157,Post Graduate
1158,10th Pass
1159,Graduate
1160,Graduate
1161,10th Pass
1162,12th Pass
1163,Graduate
1164,Post Graduate
1165,Graduate Professional
1166,10th Pass
1167,Graduate
1168,Graduate
1169,Post Graduate
1170,10th Pass
1171,Graduate
1172,Graduate Professional
1173,Graduate
1174,Others
1175,Graduate Professional
1176,Graduate
1177,Doctorate
1178,Post Graduate
1179,Graduate
1180,Post Graduate
1181,Post Graduate
1182,12th Pass
1183,12th Pass
1184,Post Graduate
1185,Graduate
1186,12th Pass
1187,Graduate
1188,Post Graduate
1189,Graduate
1190,Graduate
1191,Graduate
1192,Graduate
1193,10th Pass
1194,12th Pass
1195,12th Pass
1196,10th Pass
1197,10th Pass
1198,12th Pass
1199,Graduate Professional
1200,Post Graduate
1201,10th Pass
1202,Graduate
1203,Graduate Professional
1204,12th Pass
1205,Graduate
1206,Post Graduate
1207,10th Pass
1208,12th Pass
1209,Graduate Professional
1210,Post Graduate
1211,Post Graduate
1212,10th Pass
1213,12th Pass
1214,10th Pass
1215,Graduate
1216,Graduate Professional
1217,Post Graduate
1218,Graduate
1219,Graduate
1220,Graduate
1221,Post Graduate
1222,Post Graduate
1223,Graduate
1224,Graduate
1225,10th Pass
1226,Post Graduate
1227,Graduate
1228,Graduate Professional
1229,Graduate Professional
1230,12th Pass
1231,10th Pass
1232,12th Pass
1233,12th Pass
1234,8th Pass
1235,Graduate Professional
1236,12th Pass
1237,Post Graduate
1238,12th Pass
1239,12th Pass
1240,Graduate Professional
1241,8th Pass
1242,12th Pass
1243,Graduate Professional
1244,Graduate
1245,12th Pass
1246,12th Pass
1247,Graduate Professional
1248,Post Graduate
1249,Post Graduate
1250,12th Pass
1251,Graduate Professional
1252,Graduate
1253,Graduate
1254,12th Pass
1255,Post Graduate
1256,Post Graduate
1257,Graduate
1258,Post Graduate
1259,Graduate Professional
1260,Post Graduate
1261,Graduate Professional
1262,12th Pass
1263,12th Pass
1264,Graduate
1265,Post Graduate
1266,8th Pass
1267,Graduate
1268,8th Pass
1269,Graduate
1270,Graduate
1271,Graduate
1272,Graduate
1273,Graduate
1274,10th Pass
1275,Post Graduate
1276,12th Pass
1277,12th Pass
1278,Graduate
1279,Post Graduate
1280,Graduate
1281,Post Graduate
1282,10th Pass
1283,Graduate Professional
1284,Graduate
1285,Post Graduate
1286,12th Pass
1287,Graduate
1288,Graduate
1289,Post Graduate
1290,Graduate Professional
1291,Graduate
1292,Graduate
1293,Graduate
1294,Post Graduate
1295,12th Pass
1296,Post Graduate
1297,Graduate
1298,Graduate
1299,12th Pass
1300,12th Pass
1301,10th Pass
1302,10th Pass
1303,Doctorate
1304,Post Graduate
1305,Graduate
1306,Graduate
1307,Graduate Professional
1308,Post Graduate
1309,Graduate
1310,12th Pass
1311,Graduate
1312,10th Pass
1313,Graduate
1314,8th Pass
1315,10th Pass
1316,Graduate
1317,10th Pass
1318,Graduate
1319,Post Graduate
1320,10th Pass
1321,Graduate
1322,Graduate
1323,Graduate Professional
1324,Post Graduate
1325,12th Pass
1326,Graduate
1327,Literate
1328,Graduate Professional
1329,Graduate
1330,Graduate
1331,Graduate
1332,Post Graduate
1333,Graduate Professional
1334,12th Pass
1335,Post Graduate
1336,12th Pass
1337,Post Graduate
1338,Graduate Professional
1339,10th Pass
1340,Graduate
1341,10th Pass
1342,Graduate Professional
1343,Post Graduate
1344,Graduate
1345,10th Pass
1346,Graduate
1347,Graduate
1348,10th Pass
1349,12th Pass
1350,Post Graduate
1351,10th Pass
1352,Graduate
1353,12th Pass
1354,10th Pass
1355,Post Graduate
1356,Doctorate
1357,Post Graduate
1358,Graduate
1359,Graduate Professional
1360,Post Graduate
1361,10th Pass
1362,Graduate
1363,Post Graduate
1364,Post Graduate
1365,Graduate
1366,Graduate
1367,Graduate
1368,Graduate
1369,Post Graduate
1370,Graduate
1371,10th Pass
1372,Graduate
1373,Post Graduate
